Course Name,Tee Name,Slope Rating,Course Rating,Par
ADELAIDE GOLF CLUB,Red,104,66,72
ADELAIDE GOLF CLUB,White,114,70,72
AKASIA COUNTRY CLUB,Blue,124,70.2,72
AKASIA COUNTRY CLUB,Red,119,66.7,72
AKASIA COUNTRY CLUB,White,136,73.2,72
ALBERTINIA GOLF CLUB,Blue,125,69.5,72
ALBERTINIA GOLF CLUB,Red,109,66.2,72
ALEXANDERBAAI GOLF CLUB,Blue,112,62.7,72
ALEXANDERBAAI GOLF CLUB,White,123,67.7,72
ALEXANDRIA GOLF CLUB,Red,119,67.3,72
ALEXANDRIA GOLF CLUB,White,124,69.3,72
ALIWAL NORTH GOLF CLUB,Back,127,70.5,72
ALIWAL NORTH GOLF CLUB,Front,105,66.3,72
AMANDELBULT GOLF CLUB,Blue,124,70.7,72
AMANDELBULT GOLF CLUB,Red,113,65.4,72
AMANZIMTOTI COUNTRY CLUB (T,ERed,109,63.2,70
AMANZIMTOTI COUNTRY CLUB (T,EWhite,114,67,70
AMATIKULU COUNTRY CLUB,Back,128,70.9,72
AMATIKULU COUNTRY CLUB,Front,119,66.7,72
AMERSFOORT GOLF CLUB,Back,123,70.3,72
AMERSFOORT GOLF CLUB,Front,114,66,72
AMPHITHEATRE GOLF CLUB,Back,127,70.3,72
AMPHITHEATRE GOLF CLUB,Front,112,63.8,72
ARABELLA GOLF CLUB,Blue,114,69.2,72
ARABELLA GOLF CLUB,Red,108,66.6,72
ARABELLA GOLF CLUB,White,120,70.9,72
ARABELLA GOLF CLUB,Yellow,127,72.9,72
ARENDSKRAAL GOLF CLUB,Back,110,64.5,70
ARNOT GOLF CLUB,Red,114,67.7,72
ARNOT GOLF CLUB,White,122,71.1,72
ATLANTIC BEACH LINKS,Blue,114,68.8,72
ATLANTIC BEACH LINKS,Red,109,66.5,72
ATLANTIC BEACH LINKS,White,123,71,72
ATLANTIC BEACH LINKS,Yellow,127,72.8,72
AVION PARK GOLF CLUB,Red,108,65.3,72
AVION PARK GOLF CLUB,White,125,70.5,72
BADPLAAS GOLF CLUB,Pink,113,65.1,70
BADPLAAS GOLF CLUB,Red,123,68.9,70
BALKFONTEIN GOLF CLUB,Back,127,69.3,70
BALKFONTEIN GOLF CLUB,Front,112,65.5,70
BANKENVELD GOLF CLUB,Blue,121,69.5,72
BANKENVELD GOLF CLUB,Red,115,66.8,72
BANKENVELD GOLF CLUB,White,127,72,72
BARBERTON GOLF CLUB,Blue,118,67.4,72
BARBERTON GOLF CLUB,Yellow,126,70.5,72
BARKLY EAST GOLF CLUB,Back,116,71.5,72
BARKLY EAST GOLF CLUB,Front,102,64.9,72
Beachwood Golf Club,Blue,124,68.8,72
Beachwood Golf Club,Red,121,68,72
Beachwood Golf Club,White,134,71.2,72
Beachwood Golf Club,Yellow,136,72,72
BEAUFORT WEST GOLF CLUB,Red,111,64.5,72
BEAUFORT WEST GOLF CLUB,White,121,71,72
BEDFORD GOLF CLUB,Red,106,64.8,72
BEDFORD GOLF CLUB,White,115,69.5,72
BELFAST GOLF CLUB,Back,127,70.4,72
BELFAST GOLF CLUB,Front,116,65.8,72
BELLVILLE GOLF CLUB,Blue,124,69.2,72
BELLVILLE GOLF CLUB,Red,115,66.3,72
BELLVILLE GOLF CLUB,White,132,71.6,72
BENONI COUNTRY CLUB,Blue,126,69.8,72
BENONI COUNTRY CLUB,Red,120,67.2,72
BENONI COUNTRY CLUB,White,135,72.3,72
BENONI COUNTRY CLUB,Yellow,137,74.8,72
BENONI LAKE GOLF CLUB,Blue,120,68.3,72
BENONI LAKE GOLF CLUB,Red,114,66.8,72
BENONI LAKE GOLF CLUB,White,129,73,72
BERG RIVER GOLF CLUB,Back,121,70.1,72
BERG RIVER GOLF CLUB,Front,110,65.3,72
BETHAL GOLF CLUB,Back,127,72.2,72
BETHAL GOLF CLUB,Front,117,67.8,72
BETHLEHEM GOLF CLUB,Blue,117,67.3,72
BETHLEHEM GOLF CLUB,Red,112,65.7,72
BETHLEHEM GOLF CLUB,White,126,71.7,72
BETHULIE GHOLFKLUB,Back,124,68.4,72
BETHULIE GHOLFKLUB,Front,112,64.1,72
BLACK MOUNTAIN GOLF CLUB,Red,105,64.1,72
BLACK MOUNTAIN GOLF CLUB,White,122,72.1,72
BLAIR ATHOLL,Black,146,78.5,72
BLAIR ATHOLL,Bronze,118,69.8,72
BLAIR ATHOLL,Gold,141,74.4,72
BLAIR ATHOLL,Silver,132,72.8,72
BLAIR ATHOLL,White,115,65.1,72
BLOEMFONTEIN GOLF CLUB,Blue,123,70.4,72
BLOEMFONTEIN GOLF CLUB,Red,121,67,72
BLOEMFONTEIN GOLF CLUB,White,126,72.1,72
BLOEMFONTEIN GOLF CLUB,Yellow,132,74,72
BLOEMHOF GOLF CLUB,Red,109,67.8,72
BLOEMHOF GOLF CLUB,White,116,69.7,72
BLUE VALLEY GOLF & COUNTRY,Blue,128,68.9,72
BLUE VALLEY GOLF & COUNTRY,Red,119,66.6,72
BLUE VALLEY GOLF & COUNTRY,White,133,72.1,72
BLUE VALLEY GOLF & COUNTRY,Yellow,141,75.1,72
BLUFF NATIONAL PARK GOLF CLU,Blue,116,68.1,72
BLUFF NATIONAL PARK GOLF CLU,Red,106,65.2,72
BLUFF NATIONAL PARK GOLF CLU,White,125,69.8,72
BLUFF NATIONAL PARK GOLF CLU,Yellow,129,71.5,72
BOGGOMSBAAI GOLF CLUB,Red,122,65.4,72
BOGGOMSBAAI GOLF CLUB,Yellow,133,70.1,72
BONNIEVALE GOLF CLUB,Back,126,70.6,72
BONNIEVALE GOLF CLUB,Front,119,66.7,72
BOSCH HOEK COUNTRY CLUB,Blue,130,69,72
BOSCH HOEK COUNTRY CLUB,Red,124,65.5,72
BOSCH HOEK COUNTRY CLUB,White,134,71.2,72
BOSCHENMEER COURSE (19-9),Blue Boschenme,127,69.9,72
BOSCHENMEER COURSE (19-9),Red Boschenme,116,66.9,72
BOSCHENMEER COURSE (19-9),White Boschenm,132,72.3,72
BOSCHENMEER COURSE (19-9),,133,72.9,72
BOSCHENMEER COURSE (19-9),,139,79.9,72
BOTHAVILLE GOLF CLUB,Red,120,69.4,72
BOTHAVILLE GOLF CLUB,White,126,72.3,72
BRANDFORT GOLF CLUB,Back,119,68.4,72
BRANDFORT GOLF CLUB,Front,103,62.2,72
BREDASDORP GOLF CLUB,Blue,119,67.6,72
BREDASDORP GOLF CLUB,Yellow,126,71.3,72
BRONKHORSTSPRUIT GOLF CLU B,Blue,127,71.3,72
BRONKHORSTSPRUIT GOLF CLU B,Red,119,67.1,72
BRONKHORSTSPRUIT GOLF CLU B,White,130,72.3,72
BULTFONTEIN GOLF CLUB,Red,123,67.4,72
BULTFONTEIN GOLF CLUB,White,132,72.4,72
BURGERSDORP GOLF CLUB,Red,108,65,72
BURGERSDORP GOLF CLUB,White,127,71.2,70
CALEDON GOLF CLUB,Blue,113,68.2,73
CALEDON GOLF CLUB,White,123,71.5,73
CALVINIA GOLF CLUB,Back,121,70.4,72
CALVINIA GOLF CLUB,Front,109,66.2,72
CAMELOT COUNTRY CLUB,Blue,125,67.8,70
CAMELOT COUNTRY CLUB,Red,114,64.1,70
CAMELOT COUNTRY CLUB,White,129,69.5,70
CARNARVON GOLF CLUB,Back,125,70.5,72
CAROLINA GOLF CLUB,Back,122,69.8,72
CAROLINA GOLF CLUB,Front,110,65.2,72
CATHCART GOLF CLUB,Back,116,70.1,72
CATHCART GOLF CLUB,Front,107,66,72
CATHEDRAL PEAK GOLF CLUB,Back,126,69.4,70
CATHEDRAL PEAK GOLF CLUB,Front,115,65,71
CATO RIDGE GOLF CLUB,Blue,118,68.5,72
CATO RIDGE GOLF CLUB,Red,115,67.7,72
CATO RIDGE GOLF CLUB,White,126,71,72
CATO RIDGE GOLF CLUB,Yellow,128,72,72
CCJ - WOODMEAD,Blue,128,69.4,72
CCJ - WOODMEAD,Red,121,66.8,72
CCJ - WOODMEAD,White,133,72.5,72
CCJ - WOODMEAD,Yellow,137,74.8,72
CCJ- ROCKLANDS,Blue,124,68.3,72
CCJ- ROCKLANDS,Red,116,66,72
CCJ- ROCKLANDS,White,137,71.6,72
CCJ- ROCKLANDS,Yellow,142,74.5,72
CCJ- ROCKMEAD,Blue,127,69,72
CCJ- ROCKMEAD,Red,120,66.8,72
CCJ- ROCKMEAD,White,136,71.4,72
CCJ- ROCKMEAD,Yellow,139,74.2,72
CCJ- WOODLANDS,Blue,125,68.7,72
CCJ- WOODLANDS,Red,117,66,72
CCJ- WOODLANDS,White,135,72.7,72
CCJ- WOODLANDS,Yellow,140,75.1,72
CENTRAL DURBAN GOLF CLUB,White,127,70.5,72
CENTRAL DURBAN GOLF CLUB,Yellow,130,71.9,72
CENTURION CC - PAR 71 (HOLE 1,6Blue,127,69.7,71
CENTURION CC - PAR 71 (HOLE 1,6Green,115,64.7,71
CENTURION CC - PAR 71 (HOLE 1,6Red,115,67.1,71
CENTURION CC - PAR 71 (HOLE 1,6White,131,71.6,71
CENTURION CC - PAR 71 (HOLE 1,6Yellow,134,72.8,71
CENTURION CC - PAR 72,Blue,128,70.6,72
CENTURION CC - PAR 72,Green,116,65.4,72
CENTURION CC - PAR 72,Hennops,135,72.7,72
CENTURION CC - PAR 72,John Vorster,122,69.5,72
CENTURION CC - PAR 72,Red,116,67.8,72
CENTURION CC - PAR 72,White,132,72.6,72
CENTURION CC - PAR 72,Yellow,136,73.9,72
CERES GOLF CLUB,Red,112,66.4,72
CERES GOLF CLUB,White,123,70,72
CHAMPAGNE SPORTS RESORT,Blue,128,68.9,72
CHAMPAGNE SPORTS RESORT,Red,119,64.7,72
CHAMPAGNE SPORTS RESORT,White,141,72.4,72
CHAMPAGNE SPORTS RESORT,Yellow,148,75.5,72
CHRISTIANA GOLF CLUB,Red,112,65.2,72
CHRISTIANA GOLF CLUB,White,124,69.8,72
CHROME GOLF CLUB,Back,122,72.1,72
CHROME GOLF CLUB,Front,111,66.6,72
CITRUSDAL GOLF CLUB,Blue,106,65.5,70
CITRUSDAL GOLF CLUB,Yellow,112,68.9,70
CLANWILLIAM GOLF CLUB,Blue,113,66.8,72
CLANWILLIAM GOLF CLUB,White,121,70.1,72
CLARENS GOLF CLUB,Blue,129,67.3,72
CLARENS GOLF CLUB,Red,111,65.1,72
CLARENS GOLF CLUB,White,145,70.8,72
CLARENS GOLF CLUB,Yellow,145,72,72
CLOCOLAN GOLF CLUB,Back,126,70.6,72
CLOCOLAN GOLF CLUB,Front,114,65.3,72
CLOVELLY COUNTRY CLUB,Red,115,67.5,72
CLOVELLY COUNTRY CLUB,White,123,69.7,72
CLOVELLY COUNTRY CLUB,Yellow,126,71.3,72
CMR GOLF CLUB,Blue,120,69.9,72
CMR GOLF CLUB,Red,115,66.7,72
CMR GOLF CLUB,White,129,71.8,72
CMR GOLF CLUB,Yellow,135,73.3,72
COLESBERG GOLF CLUB,Red,107,67.3,72
COLESBERG GOLF CLUB,White,114,70.4,72
COTSWOLD DOWNS GOLF COUR,SBlack,145,75.8,72
COTSWOLD DOWNS GOLF COUR,SBlue,139,69.7,72
COTSWOLD DOWNS GOLF COUR,SRed,133,66.9,72
COTSWOLD DOWNS GOLF COUR,SWhite,140,71.9,72
COTSWOLD DOWNS GOLF COUR,SYellow,143,73.2,72
CRADOCK GOLF CLUB,Back,135,73.1,73
CRADOCK GOLF CLUB,Front,123,67.6,73
CULLINAN GOLF CLUB,Blue,122,67.3,72
CULLINAN GOLF CLUB,White,130,72.9,72
DAINFERN COUNTRY CLUB,Blue,136,69.7,72
DAINFERN COUNTRY CLUB,Red,126,67.2,72
DAINFERN COUNTRY CLUB,White,136,72.7,72
DAINFERN COUNTRY CLUB,Yellow,139,74.9,72
DARKIES GOLF CLUB - AMATIKUL,UBack,128,70.9,72
DARKIES GOLF CLUB - AMATIKUL,UFront,119,66.7,72
DARLING GOLF CLUB,Red,108,64.9,72
DARLING GOLF CLUB,White,124,70.3,72
DARNALL GOLF CLUB,Back,126,71.1,72
DARNALL GOLF CLUB,Front,121,67.1,73
DAVEYTON GOLF CLUB,Yellow,123,71.3,72
DE AAR GOLF CLUB,Back,124,71,72
DE AAR GOLF CLUB,Front,107,64.2,72
De H0ek Golf Club,Back,129,70.7,72
De H0ek Golf Club,Front,125,68.4,72
DE ZALZE GOLF CLUB,Blue,120,68.4,72
DE ZALZE GOLF CLUB,Green,112,64.8,72
DE ZALZE GOLF CLUB,Red,114,66.9,72
DE ZALZE GOLF CLUB,White,124,71,72
DE ZALZE GOLF CLUB,Yellow,133,72.9,72
DELAREYVILLE GOLF CLUB,Back,112,68.6,72
DELAREYVILLE GOLF CLUB,Front,102,64.3,72
DELMAS GOLF CLUB,Back,127,72.8,72
DELMAS GOLF CLUB,Front,116,68.5,72
DEVONVALE GOLF CLUB,Red,109,65.8,72
DEVONVALE GOLF CLUB,White,120,69.2,72
DEVONVALE GOLF CLUB,Yellow,120,71.2,72
Devonvale Short Course,Black,88,55.9,56
DEWETSDORP GOLF CLUB,Back,132,72.2,72
DEWETSDORP GOLF CLUB,Front,122,68.4,72
DOLPHINS CREEK GOLF CLUB,Blue,99,58.6,64
DOLPHINS CREEK GOLF CLUB,Yellow,103,60.3,64
DORDRECHT COUNTRY CLUB,Blue,118,68,72
DORDRECHT COUNTRY CLUB,Red,112,65.8,72
DORDRECHT COUNTRY CLUB,White,124,70.1,72
DOUGLAS GOLF CLUB,Blue,113,68.7,72
DOUGLAS GOLF CLUB,Red,101,64.4,72
DOUGLAS GOLF CLUB,White,120,71.8,72
Drakensberg Gardens GC,Blue,115,67.4,72
Drakensberg Gardens GC,Red,107,63,72
Drakensberg Gardens GC,White,120,69,72
Drakensberg Gardens GC,Yellow,122,70.2,72
DRAKENSIG GOLF CLUB,Red,123,67.4,72
DRAKENSIG GOLF CLUB,Yellow,128,71.2,72
DUNDEE COUNTRY CLUB,Red,115,66.8,71
DUNDEE COUNTRY CLUB,Yellow,124,72.1,71
DURBAN COUNTRY CLUB,Blue,121,69.2,72
DURBAN COUNTRY CLUB,Red,115,67.8,72
DURBAN COUNTRY CLUB,White,127,70.7,72
DURBAN COUNTRY CLUB,Yellow,129,72,72
DURBAN GOLF CLUB,Red,114,65,72
DURBAN GOLF CLUB,White,123,69.3,72
DURBAN GOLF CLUB,Yellow,128,71.2,72
DURBANVILLE GOLF CLUB,Blue,124,69.4,72
DURBANVILLE GOLF CLUB,Red,112,66.7,72
DURBANVILLE GOLF CLUB,White,128,71.7,72
EAGLE CANYON,Blue,121,68.5,72
EAGLE CANYON,Red,115,67.2,72
EAGLE CANYON,White,133,72,72
EAGLE CANYON,Yellow,139,73.9,72
EAST LONDON GOLF CLUB,Blue,129,70.2,73
EAST LONDON GOLF CLUB,Red,124,68.1,73
EAST LONDON GOLF CLUB,White,135,71.9,73
EBOTSE LINKS,Blue,121,70.5,72
EBOTSE LINKS,Red,119,67.8,72
EBOTSE LINKS,White,129,72.7,72
EBOTSE LINKS,Yellow,132,75.2,72
EDENBURG GOLF CLUB,Back,122,71.5,72
EDENBURG GOLF CLUB,Front,110,64.6,72
ELEMENTS PRIVATE GOLF RESER,Blue,135,70.1,72
ELEMENTS PRIVATE GOLF RESER,Red,125,67.4,72
ELEMENTS PRIVATE GOLF RESER,White,142,73.7,72
ELEMENTS PRIVATE GOLF RESER,Yellow,147,76.1,72
ELLIOT GOLF CLUB,Red,115,67.1,72
ELLIOT GOLF CLUB,White,123,70.2,72
EMFULENI COUNTRY CLUB,Red,118,67.9,72
EMFULENI COUNTRY CLUB,White,132,72,72
EMFULENI COUNTRY CLUB,Yellow,138,73.7,72
EMPANGENI COUNTRY CLUB,Red,122,67.7,72
EMPANGENI COUNTRY CLUB,White,131,71.9,72
ERINVALE GOLF CLUB,Blue,129,69.8,72
ERINVALE GOLF CLUB,Red,120,67.4,72
ERINVALE GOLF CLUB,White,135,72.2,72
ERINVALE GOLF CLUB,Yellow,137,74.6,72
ERMELO GOLF CLUB,Blue,123,69.9,72
ERMELO GOLF CLUB,Red,115,66.8,72
ERMELO GOLF CLUB,White,127,71.8,72
ERMELO GOLF CLUB,Yellow,128,72.5,72
ERPM GOLF CLUB,Blue,131,70,72
ERPM GOLF CLUB,Red,119,67,72
ERPM GOLF CLUB,White,135,71.6,72
ERPM GOLF CLUB,Yellow,137,73.7,72
ESHOWE COUNTRY CLUB,Blue,117,67.5,72
ESHOWE COUNTRY CLUB,Red,112,65.9,72
ESHOWE COUNTRY CLUB,White,120,68.8,72
ESHOWE COUNTRY CLUB,Yellow,123,70.2,72
ESTCOURT GOLF CLUB,Red,120,65.6,72
ESTCOURT GOLF CLUB,White,130,70.1,72
Euphoria Golf & Lifestyle Estate,Blue,132,71.1,72
Euphoria Golf & Lifestyle Estate,Red,124,66.7,72
Euphoria Golf & Lifestyle Estate,White,137,74.2,72
Euphoria Golf & Lifestyle Estate,Yellow,148,76.8,72
EYE OF AFRICA GOLF CLUB,Black,152,76.8,72
EYE OF AFRICA GOLF CLUB,Blue,115,68.5,72
EYE OF AFRICA GOLF CLUB,Red,107,65.9,72
EYE OF AFRICA GOLF CLUB,White,136,71.3,72
EYE OF AFRICA GOLF CLUB,Yellow,145,74.6,72
FAIRVIEW GOLF ESTATE,Red,112,64.4,72
FAIRVIEW GOLF ESTATE,White,121,68.4,72
FAIRWAYS VIRTUAL GOLF CLUB,Fairways Virtual,113,72,72
FANCOURT - MONTAGU,Black,137,75.2,72
FANCOURT - MONTAGU,Blue,120,67.6,72
FANCOURT - MONTAGU,Red,114,65.8,72
FANCOURT - MONTAGU,White,126,69.7,72
FANCOURT - MONTAGU,Yellow,133,73.2,72
FANCOURT - OUTENIQUA,Black,132,73.9,72
FANCOURT - OUTENIQUA,Blue,123,68,72
FANCOURT - OUTENIQUA,Red,116,66.2,72
FANCOURT - OUTENIQUA,White,127,69.6,72
FANCOURT - OUTENIQUA,Yellow,133,71.4,72
FELIXTON COUNTRY CLUB,White,84,51.3,54
FICKSBURG GOLF CLUB,Red,120,66.3,72
FICKSBURG GOLF CLUB,White,131,71.7,72
FISH RIVER RESORT,Green,136,73.3,72
FISH RIVER RESORT,Pink,124,68.4,73
FISH RIVER RESORT,White,131,71.3,72
FISH RIVER RESORT,Yellow,139,74.9,72
FORT BEAUFORT GOLF CLUB,Red,116,67.4,72
FORT BEAUFORT GOLF CLUB,White,126,71.2,72
FRANKFORT GHOLF CLUB,Red,115,67.7,72
FRANKFORT GHOLF CLUB,White,132,72,72
FYNBOS GOLF & COUNTRY ESTA T,Blue,124,69.1,72
FYNBOS GOLF & COUNTRY ESTA T,Red,114,66.1,72
FYNBOS GOLF & COUNTRY ESTA T,White,131,71.2,72
GANSBAAI GOLF CLUB,Red,106,66.9,72
GANSBAAI GOLF CLUB,Yellow,113,70.8,72
GARY PLAYER COUNTRY CLUB,Burgandy,155,78.2,72
GARY PLAYER COUNTRY CLUB,Green,151,75.2,72
GARY PLAYER COUNTRY CLUB,Light Green,131,66.2,72
GARY PLAYER COUNTRY CLUB,White,144,72.2,72
GENESIS GOLF CLUB,White,127,70.5,72
GEORGE GOLF CLUB,Blue,123,69.8,72
GEORGE GOLF CLUB,Red,118,67.5,72
GEORGE GOLF CLUB,White,127,71.2,72
GEORGE GOLF CLUB,Yellow,130,73,72
GERMISTON GOLF CLUB,Blue,127,70.7,72
GERMISTON GOLF CLUB,Red,120,67.6,72
GERMISTON GOLF CLUB,White,129,72.9,72
GERMISTON GOLF CLUB,Yellow,132,74.2,72
GLENCOE CORR SERVICES GC,Back,134,72.5,72
GLENCOE CORR SERVICES GC,Front,125,68.5,72
GLENDOWER GOLF CLUB,Blue,135,71.3,72
GLENDOWER GOLF CLUB,Red,129,68.2,72
GLENDOWER GOLF CLUB,White,142,74.1,72
